City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
Boston,East,1/1/1923,0:00,11.275,NaN,9.215,4.615,4.484,-0.244,NaN,-2.025,0
Boston,East,2/1/1923,0:00,11.574,NaN,9.166,4.435,4.326,-0.516,NaN,-2.426,0
Boston,East,3/1/1923,0:00,11.574,NaN,9.264,4.435,4.307,-0.644,NaN,-2.724,0
Boston,East,4/1/1923,0:00,11.774,NaN,9.366,4.566,4.415,-0.526,NaN,-3.623,0
Boston,East,5/1/1923,0:00,11.475,NaN,9.346,4.566,4.415,-0.506,NaN,-2.924,0
Boston,East,6/1/1923,0:00,11.475,NaN,9.415,4.707,4.576,-0.264,NaN,-2.524,0
Boston,East,7/1/1923,0:00,10.875,NaN,9.274,4.536,4.415,-0.444,NaN,-2.025,0
Boston,East,8/1/1923,0:00,10.576,NaN,9.225,4.494,4.395,-0.444,NaN,-1.523,0
Boston,East,9/1/1923,0:00,10.675,NaN,9.126,4.454,4.336,-0.444,NaN,-2.324,0
Boston,East,10/1/1923,0:00,11.075,NaN,9.205,4.576,4.444,-0.316,NaN,-2.626,0
Boston,East,11/1/1923,0:00,11.574,NaN,9.405,4.736,4.625,-0.165,NaN,-2.724,0
Boston,East,12/1/1923,0:00,11.774,NaN,9.205,4.517,4.395,-0.414,NaN,-2.826,0
Boston,East,1/1/1924,0:00,11.275,NaN,8.946,4.225,4.116,-0.716,NaN,-3.124,0
Boston,East,2/1/1924,0:00,11.876,NaN,9.356,4.586,4.474,-0.414,NaN,-2.124,0
Boston,East,3/1/1924,0:00,11.377,NaN,9.684,4.917,4.805,-0.073,NaN,-1.924,0
Boston,East,4/1/1924,0:00,11.377,NaN,9.405,4.654,4.536,-0.346,NaN,-2.524,0
Boston,East,5/1/1924,0:00,11.377,NaN,9.405,4.736,4.595,-0.205,NaN,-2.826,0
Boston,East,6/1/1924,0:00,11.475,NaN,9.307,4.664,4.526,-0.254,NaN,-2.524,0
Boston,East,7/1/1924,0:00,11.774,NaN,9.225,4.556,4.444,-0.336,NaN,-2.324,0
Boston,East,8/1/1924,0:00,11.075,NaN,9.307,4.645,4.526,-0.254,NaN,-1.924,0
Boston,East,9/1/1924,0:00,10.875,NaN,9.415,4.595,4.454,-0.506,NaN,-2.025,0
Boston,East,10/1/1924,0:00,11.675,NaN,9.336,4.605,4.494,-0.336,NaN,-2.025,0
Boston,East,11/1/1924,0:00,11.675,NaN,9.274,4.536,4.415,-0.444,NaN,-2.924,0
Boston,East,12/1/1924,0:00,11.377,NaN,9.005,4.215,4.107,-0.785,NaN,-3.525,0
Boston,East,1/1/1925,0:00,11.275,NaN,9.107,4.444,4.336,-0.424,NaN,-2.826,0
Boston,East,2/1/1925,0:00,10.977,NaN,9.044,4.297,4.175,-0.684,NaN,-3.026,0
Boston,East,3/1/1925,0:00,10.074,NaN,8.946,4.264,4.146,-0.654,NaN,-2.524,0
Boston,East,4/1/1925,0:00,10.875,NaN,9.097,4.484,4.356,-0.395,NaN,-1.825,0
Boston,East,5/1/1925,0:00,10.776,NaN,9.166,4.576,4.444,-0.273,NaN,-2.524,0
Boston,East,6/1/1925,0:00,11.574,NaN,9.254,4.586,4.454,-0.355,NaN,-2.324,0
Boston,East,7/1/1925,0:00,11.377,NaN,9.307,4.586,4.454,-0.385,NaN,-2.724,0
Boston,East,8/1/1925,0:00,11.275,NaN,9.326,4.586,4.454,-0.405,NaN,-2.826,0
Boston,East,9/1/1925,0:00,11.275,NaN,9.356,4.654,4.536,-0.293,NaN,-2.124,0
Boston,East,10/1/1925,0:00,10.776,NaN,9.284,4.566,4.454,-0.375,NaN,-2.124,0
Boston,East,11/1/1925,0:00,11.475,NaN,9.136,4.484,4.376,-0.385,NaN,-2.626,0
Boston,East,12/1/1925,0:00,11.275,NaN,9.136,4.484,4.395,-0.336,NaN,-2.324,0
Boston,East,1/1/1926,0:00,11.876,NaN,8.844,4.244,4.136,-0.575,NaN,-2.924,0
Boston,East,2/1/1926,0:00,12.374,NaN,9.405,4.694,4.576,-0.244,NaN,-2.826,0
Boston,East,3/1/1926,0:00,11.177,NaN,8.985,4.284,4.166,-0.654,NaN,-2.724,0
Boston,East,4/1/1926,0:00,10.776,NaN,9.126,4.444,4.326,-0.483,NaN,-2.724,0
Boston,East,5/1/1926,0:00,10.875,NaN,9.175,4.546,4.415,-0.336,NaN,-2.124,0
Boston,East,6/1/1926,0:00,10.875,NaN,9.234,4.546,4.415,-0.414,NaN,-2.226,0
Boston,East,7/1/1926,0:00,10.875,NaN,9.326,4.615,4.474,-0.375,NaN,-2.524,0
Boston,East,8/1/1926,0:00,11.675,NaN,9.435,4.707,4.566,-0.306,NaN,-2.426,0
Boston,East,9/1/1926,0:00,11.275,NaN,9.264,4.625,4.517,-0.244,NaN,-2.324,0
Boston,East,10/1/1926,0:00,11.876,NaN,9.254,4.727,4.615,-0.024,NaN,-2.226,0
Boston,East,11/1/1926,0:00,11.574,NaN,8.975,4.435,4.316,-0.336,NaN,-2.226,0
Boston,East,12/1/1926,0:00,10.475,NaN,9.097,4.566,4.454,-0.175,NaN,-2.324,0
Boston,East,1/1/1927,0:00,11.574,NaN,8.956,4.376,4.274,-0.395,NaN,-2.124,0
Boston,East,2/1/1927,0:00,11.574,NaN,9.307,4.717,4.595,-0.116,NaN,-2.724,0
Boston,East,3/1/1927,0:00,12.076,NaN,9.225,4.507,4.385,-0.444,NaN,-2.924,0
Boston,East,4/1/1927,0:00,11.275,NaN,9.264,4.526,4.385,-0.493,NaN,-2.626,0
Boston,East,5/1/1927,0:00,11.475,NaN,9.425,4.684,4.566,-0.293,NaN,-2.524,0
Boston,East,6/1/1927,0:00,10.875,NaN,9.346,4.727,4.595,-0.155,NaN,-1.825,0
Boston,East,7/1/1927,0:00,10.576,NaN,9.254,4.615,4.494,-0.254,NaN,-1.724,0
Boston,East,8/1/1927,0:00,11.275,NaN,9.307,4.694,4.576,-0.165,NaN,-1.924,0
Boston,East,9/1/1927,0:00,11.377,NaN,9.346,4.664,4.536,-0.273,NaN,-2.025,0
Boston,East,10/1/1927,0:00,11.876,NaN,9.297,4.736,4.615,-0.063,NaN,-2.626,0
Boston,East,11/1/1927,0:00,11.574,NaN,9.264,4.684,4.576,-0.126,NaN,-2.924,0
Boston,East,12/1/1927,0:00,12.076,NaN,9.376,4.805,4.707,0.035,NaN,-2.724,0
Boston,East,1/1/1928,0:00,10.977,NaN,8.965,4.385,4.274,-0.424,NaN,-3.725,0
Boston,East,2/1/1928,0:00,11.177,NaN,8.965,4.274,4.146,-0.674,NaN,-2.524,0
Boston,East,3/1/1928,0:00,11.275,NaN,9.146,4.474,4.366,-0.414,NaN,-2.124,0
Boston,East,4/1/1928,0:00,11.876,NaN,9.005,4.385,4.264,-0.474,NaN,-3.124,0
Boston,East,5/1/1928,0:00,11.774,NaN,9.316,4.674,4.556,-0.195,NaN,-2.426,0
Boston,East,6/1/1928,0:00,11.574,NaN,9.297,4.727,4.595,-0.096,NaN,-2.524,0
Boston,East,7/1/1928,0:00,11.075,NaN,9.195,4.684,4.556,-0.073,NaN,-2.124,0
Boston,East,8/1/1928,0:00,10.675,NaN,9.264,4.727,4.615,-0.044,NaN,-1.523,0
Boston,East,9/1/1928,0:00,10.776,NaN,9.274,4.746,4.635,-0.014,NaN,-1.425,0
Boston,East,10/1/1928,0:00,10.875,NaN,9.166,4.566,4.454,-0.244,NaN,-2.524,0
Boston,East,11/1/1928,0:00,11.275,NaN,9.116,4.546,4.435,-0.234,NaN,-3.026,0
Boston,East,12/1/1928,0:00,12.276,NaN,8.926,4.326,4.234,-0.454,NaN,-2.924,0
Boston,East,1/1/1929,0:00,11.177,NaN,8.716,4.175,4.064,-0.585,NaN,-2.426,0
Boston,East,2/1/1929,0:00,10.675,NaN,9.126,4.526,4.395,-0.326,NaN,-2.324,0
Boston,East,3/1/1929,0:00,10.776,NaN,9.116,4.586,4.484,-0.145,NaN,-1.825,0
Boston,East,4/1/1929,0:00,12.174,NaN,9.385,4.894,4.766,0.147,NaN,-1.625,0
Boston,East,5/1/1929,0:00,10.475,NaN,8.877,4.395,4.274,-0.316,NaN,-3.026,0
Boston,East,6/1/1929,0:00,11.475,NaN,9.316,4.776,4.654,-0.014,NaN,-2.226,0
Boston,East,7/1/1929,0:00,11.275,NaN,9.146,4.566,4.435,-0.273,NaN,-2.426,0
Boston,East,8/1/1929,0:00,11.574,NaN,9.234,4.635,4.536,-0.175,NaN,-2.426,0
Boston,East,9/1/1929,0:00,11.075,NaN,9.234,4.674,4.536,-0.155,NaN,-2.124,0
Boston,East,10/1/1929,0:00,11.075,NaN,9.126,4.566,4.454,-0.214,NaN,-1.625,0
Boston,East,11/1/1929,0:00,12.076,NaN,9.044,4.546,4.444,-0.155,NaN,-2.226,0
Boston,East,12/1/1929,0:00,11.675,NaN,8.956,4.484,4.395,-0.175,NaN,-2.025,0
Boston,East,1/1/1930,0:00,11.876,NaN,8.785,4.336,4.244,-0.293,NaN,-2.226,0
Boston,East,2/1/1930,0:00,10.977,NaN,8.824,4.376,4.244,-0.336,NaN,-3.124,0
Boston,East,3/1/1930,0:00,10.576,NaN,8.887,4.405,4.284,-0.316,NaN,-3.525,0
Boston,East,4/1/1930,0:00,10.576,NaN,8.824,4.356,4.215,-0.405,NaN,-2.324,0
