City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
Charleston,East,1/1/1923,0:00,5.835,NaN,4.457,1.957,1.835,-0.743,NaN,-2.364,0
Charleston,East,2/1/1923,0:00,5.536,NaN,4.516,2.045,1.914,-0.684,NaN,-1.964,0
Charleston,East,3/1/1923,0:00,6.035,NaN,4.345,1.806,1.694,-0.953,NaN,-2.266,0
Charleston,East,4/1/1923,0:00,6.235,NaN,4.696,2.147,2.026,-0.635,NaN,-1.665,0
Charleston,East,5/1/1923,0:00,6.537,NaN,4.936,2.426,2.305,-0.323,NaN,-1.665,0
Charleston,East,6/1/1923,0:00,6.035,NaN,4.647,2.137,2.006,-0.635,NaN,-1.865,0
Charleston,East,7/1/1923,0:00,5.835,NaN,4.545,2.016,1.904,-0.733,NaN,-1.665,0
Charleston,East,8/1/1923,0:00,5.336,NaN,4.447,1.885,1.747,-0.943,NaN,-1.964,0
Charleston,East,9/1/1923,0:00,5.936,NaN,4.824,2.324,2.216,-0.396,NaN,-1.363,0
Charleston,East,10/1/1923,0:00,6.137,NaN,5.116,2.656,2.515,-0.084,NaN,-1.363,0
Charleston,East,11/1/1923,0:00,6.435,NaN,4.916,2.456,2.347,-0.235,NaN,-1.865,0
Charleston,East,12/1/1923,0:00,5.835,NaN,4.414,1.875,1.757,-0.914,NaN,-2.863,0
Charleston,East,1/1/1924,0:00,5.536,NaN,4.335,1.694,1.655,-1.006,NaN,-2.666,0
Charleston,East,2/1/1924,0:00,6.337,NaN,4.575,2.085,1.967,-0.655,NaN,-2.764,0
Charleston,East,3/1/1924,0:00,6.337,NaN,4.575,2.006,1.885,-0.806,NaN,-2.466,0
Charleston,East,4/1/1924,0:00,5.635,NaN,4.385,2.026,1.927,-0.533,NaN,-1.764,0
Charleston,East,5/1/1924,0:00,5.936,NaN,4.486,1.996,1.996,-0.504,NaN,-1.865,0
Charleston,East,6/1/1924,0:00,6.435,NaN,4.565,2.055,1.937,-0.684,NaN,-1.865,0
Charleston,East,7/1/1924,0:00,6.137,NaN,4.726,2.226,2.085,-0.553,NaN,-1.964,0
Charleston,East,8/1/1924,0:00,6.235,NaN,4.847,2.377,2.226,-0.396,NaN,-1.665,0
Charleston,East,9/1/1924,0:00,6.235,NaN,5.254,2.846,2.705,0.165,NaN,-1.065,0
Charleston,East,10/1/1924,0:00,6.537,NaN,5.287,2.866,2.725,0.165,NaN,-1.065,0
Charleston,East,11/1/1924,0:00,6.137,NaN,4.906,2.416,2.305,-0.304,NaN,-2.466,0
Charleston,East,12/1/1924,0:00,6.137,NaN,4.545,2.006,1.904,-0.743,NaN,-2.364,0
Charleston,East,1/1/1925,0:00,6.337,NaN,4.755,2.285,2.147,-0.455,NaN,-1.665,0
Charleston,East,2/1/1925,0:00,5.936,NaN,4.696,2.177,2.045,-0.606,NaN,-1.964,0
Charleston,East,3/1/1925,0:00,5.835,NaN,4.545,2.114,2.026,-0.504,NaN,-1.564,0
Charleston,East,4/1/1925,0:00,5.835,NaN,4.706,2.285,2.186,-0.343,NaN,-1.363,0
Charleston,East,5/1/1925,0:00,6.035,NaN,4.706,2.295,2.186,-0.343,NaN,-1.363,0
Charleston,East,6/1/1925,0:00,6.035,NaN,4.736,2.265,2.147,-0.445,NaN,-1.665,0
Charleston,East,7/1/1925,0:00,6.137,NaN,4.775,2.275,2.124,-0.523,NaN,-1.964,0
Charleston,East,8/1/1925,0:00,6.337,NaN,5.116,2.636,2.495,-0.123,NaN,-1.665,0
Charleston,East,9/1/1925,0:00,6.337,NaN,5.044,2.587,2.446,-0.153,NaN,-1.465,0
Charleston,East,10/1/1925,0:00,6.337,NaN,4.706,2.255,2.137,-0.435,NaN,-1.363,0
Charleston,East,11/1/1925,0:00,6.235,NaN,4.857,2.426,2.295,-0.254,NaN,-2.364,0
Charleston,East,12/1/1925,0:00,6.435,NaN,4.286,1.826,1.727,-0.835,NaN,-2.266,0
Charleston,East,1/1/1926,0:00,5.536,NaN,4.076,1.606,1.494,-1.075,NaN,-2.466,0
Charleston,East,2/1/1926,0:00,5.736,NaN,4.047,1.547,1.435,-1.163,NaN,-2.266,0
Charleston,East,3/1/1926,0:00,5.936,NaN,4.175,1.675,1.566,-1.035,NaN,-2.564,0
Charleston,East,4/1/1926,0:00,6.337,NaN,4.394,1.904,1.796,-0.815,NaN,-2.164,0
Charleston,East,5/1/1926,0:00,6.537,NaN,4.614,2.124,2.026,-0.563,NaN,-1.665,0
Charleston,East,6/1/1926,0:00,6.435,NaN,4.726,2.236,2.104,-0.514,NaN,-1.564,0
Charleston,East,7/1/1926,0:00,7.334,NaN,4.657,2.124,1.996,-0.655,NaN,-1.964,0
Charleston,East,8/1/1926,0:00,7.436,NaN,4.834,2.295,2.186,-0.464,NaN,-1.065,0
Charleston,East,9/1/1926,0:00,6.835,NaN,5.156,2.767,2.656,0.156,NaN,-0.763,0
Charleston,East,10/1/1926,0:00,6.635,NaN,4.824,2.485,2.357,-0.123,NaN,-2.164,0
Charleston,East,11/1/1926,0:00,5.936,NaN,4.437,2.055,1.957,-0.533,NaN,-1.964,0
Charleston,East,12/1/1926,0:00,5.635,NaN,4.365,1.986,1.875,-0.625,NaN,-1.564,0
Charleston,East,1/1/1927,0:00,5.435,NaN,4.217,1.737,1.655,-0.914,NaN,-2.164,0
Charleston,East,2/1/1927,0:00,5.234,NaN,4.286,1.806,1.717,-0.865,NaN,-2.364,0
Charleston,East,3/1/1927,0:00,6.235,NaN,4.595,2.114,1.996,-0.596,NaN,-1.964,0
Charleston,East,4/1/1927,0:00,6.137,NaN,4.686,2.206,2.075,-0.543,NaN,-2.065,0
Charleston,East,5/1/1927,0:00,6.537,NaN,4.595,2.075,1.947,-0.704,NaN,-1.764,0
Charleston,East,6/1/1927,0:00,6.235,NaN,4.746,2.295,2.177,-0.396,NaN,-1.665,0
Charleston,East,7/1/1927,0:00,5.835,NaN,4.447,2.006,1.885,-0.674,NaN,-1.564,0
Charleston,East,8/1/1927,0:00,6.337,NaN,4.706,2.246,2.157,-0.405,NaN,-1.665,0
Charleston,East,9/1/1927,0:00,6.035,NaN,4.736,2.347,2.216,-0.304,NaN,-1.564,0
Charleston,East,10/1/1927,0:00,6.537,NaN,4.765,2.406,2.314,-0.143,NaN,-1.665,0
Charleston,East,11/1/1927,0:00,5.835,NaN,4.604,2.206,2.095,-0.405,NaN,-1.764,0
Charleston,East,12/1/1927,0:00,6.337,NaN,4.614,2.177,2.055,-0.504,NaN,-2.666,0
Charleston,East,1/1/1928,0:00,5.234,NaN,3.876,1.406,1.294,-1.294,NaN,-2.564,0
Charleston,East,2/1/1928,0:00,5.536,NaN,4.257,1.776,1.675,-0.894,NaN,-3.165,0
Charleston,East,3/1/1928,0:00,5.536,NaN,4.437,1.957,1.845,-0.743,NaN,-2.266,0
Charleston,East,4/1/1928,0:00,5.736,NaN,4.427,1.957,1.875,-0.684,NaN,-1.865,0
Charleston,East,5/1/1928,0:00,6.035,NaN,4.775,2.357,2.236,-0.304,NaN,-2.266,0
Charleston,East,6/1/1928,0:00,6.635,NaN,4.437,2.006,1.875,-0.694,NaN,-1.665,0
Charleston,East,7/1/1928,0:00,5.635,NaN,4.536,2.095,1.996,-0.533,NaN,-2.065,0
Charleston,East,8/1/1928,0:00,6.035,NaN,4.746,2.324,2.196,-0.363,NaN,-1.665,0
Charleston,East,9/1/1928,0:00,7.636,NaN,4.995,2.557,2.436,-0.133,NaN,-1.564,0
Charleston,East,10/1/1928,0:00,6.835,NaN,5.116,2.695,2.577,0.024,NaN,-1.564,0
Charleston,East,11/1/1928,0:00,6.337,NaN,4.785,2.367,2.236,-0.323,NaN,-1.764,0
