City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
Key West,East,1/1/1923,0:00,1.341,NaN,NaN,0.119,0.119,NaN,NaN,-1.059,0
Key West,East,2/1/1923,0:00,1.341,NaN,NaN,0.07,0.04,NaN,NaN,-1.059,0
Key West,East,3/1/1923,0:00,1.441,NaN,NaN,0.241,0.231,NaN,NaN,-0.859,0
Key West,East,4/1/1923,0:00,1.641,NaN,NaN,0.319,0.309,NaN,NaN,-0.859,0
Key West,East,5/1/1923,0:00,1.841,NaN,NaN,0.48,0.47,NaN,NaN,-0.959,0
Key West,East,6/1/1923,0:00,1.941,NaN,NaN,0.329,0.319,NaN,NaN,-1.359,0
Key West,East,7/1/1923,0:00,1.541,NaN,NaN,0.221,0.201,NaN,NaN,-1.059,0
Key West,East,8/1/1923,0:00,1.441,NaN,NaN,0.221,0.201,NaN,NaN,-0.959,0
Key West,East,9/1/1923,0:00,1.741,NaN,NaN,0.51,0.49,NaN,NaN,-0.559,0
Key West,East,10/1/1923,0:00,2.041,NaN,NaN,0.592,0.572,NaN,NaN,-0.659,0
Key West,East,11/1/1923,0:00,1.841,NaN,NaN,0.411,0.411,NaN,NaN,-1.059,0
Key West,East,12/1/1923,0:00,1.441,NaN,NaN,0.05,0.04,NaN,NaN,-1.459,0
Key West,East,1/1/1924,0:00,1.341,NaN,NaN,0.099,0.09,NaN,NaN,-1.459,0
Key West,East,2/1/1924,0:00,1.541,NaN,NaN,0.162,0.132,NaN,NaN,-1.159,0
Key West,East,3/1/1924,0:00,1.141,NaN,NaN,0.181,0.172,NaN,NaN,-1.159,0
Key West,East,4/1/1924,0:00,1.341,NaN,NaN,-0.068,-0.068,NaN,NaN,-1.359,0
Key West,East,5/1/1924,0:00,1.541,NaN,NaN,0.08,0.07,NaN,NaN,-1.559,0
Key West,East,6/1/1924,0:00,1.941,NaN,NaN,0.25,0.231,NaN,NaN,-1.159,0
Key West,East,7/1/1924,0:00,1.541,NaN,NaN,0.431,0.401,NaN,NaN,-1.059,0
Key West,East,8/1/1924,0:00,1.841,NaN,NaN,0.582,0.562,NaN,NaN,-1.059,0
Key West,East,9/1/1924,0:00,1.941,NaN,NaN,0.7,0.69,NaN,NaN,-0.459,0
Key West,East,10/1/1924,0:00,1.841,NaN,NaN,0.772,0.749,NaN,NaN,-0.359,0
Key West,East,11/1/1924,0:00,1.941,NaN,NaN,0.582,0.572,NaN,NaN,-0.859,0
Key West,East,12/1/1924,0:00,1.441,NaN,NaN,-0.068,-0.028,NaN,NaN,-1.259,0
Key West,East,1/1/1925,0:00,1.341,NaN,NaN,0.05,0.05,NaN,NaN,-1.159,0
Key West,East,2/1/1925,0:00,1.541,NaN,NaN,0.201,0.191,NaN,NaN,-1.059,0
Key West,East,3/1/1925,0:00,1.441,NaN,NaN,0.119,0.132,NaN,NaN,-1.259,0
Key West,East,4/1/1925,0:00,1.141,NaN,NaN,-0.058,-0.048,NaN,NaN,-1.359,0
Key West,East,5/1/1925,0:00,1.741,NaN,NaN,0.319,0.309,NaN,NaN,-0.959,0
Key West,East,6/1/1925,0:00,1.641,NaN,NaN,0.25,0.231,NaN,NaN,-1.259,0
Key West,East,7/1/1925,0:00,1.741,NaN,NaN,0.27,0.25,NaN,NaN,-1.259,0
Key West,East,8/1/1925,0:00,1.941,NaN,NaN,0.519,0.51,NaN,NaN,-0.959,0
Key West,East,9/1/1925,0:00,1.941,NaN,NaN,0.631,0.592,NaN,NaN,-0.559,0
Key West,East,10/1/1925,0:00,1.641,NaN,NaN,0.582,0.572,NaN,NaN,-0.559,0
Key West,East,11/1/1925,0:00,1.841,NaN,NaN,0.71,0.71,NaN,NaN,-0.659,0
Key West,East,1/1/1926,0:00,1.641,0.939,0.631,0.001,0.001,-0.629,-0.878,-1.459,11
Key West,East,2/1/1926,0:00,1.139,0.7,0.401,-0.219,-0.239,-0.868,-1.059,-1.561,0
Key West,East,3/1/1926,0:00,1.139,0.71,0.49,-0.16,-0.16,-0.809,-1,-1.459,0
Key West,East,4/1/1926,0:00,1.34,0.959,0.729,0.09,0.09,-0.56,-0.829,-1.16,0
Key West,East,5/1/1926,0:00,1.641,1.1,0.821,0.162,0.162,-0.511,-0.849,-1.259,0
Key West,East,6/1/1926,0:00,1.74,1.182,0.87,0.231,0.211,-0.448,-0.76,-1.259,0
Key West,East,7/1/1926,0:00,2.042,1.182,0.87,0.25,0.221,-0.419,-0.668,-1.16,0
Key West,East,8/1/1926,0:00,2.34,1.51,1.212,0.572,0.562,-0.101,-0.301,-0.658,0
Key West,East,9/1/1926,0:00,2.242,1.602,1.349,0.749,0.739,0.132,-0.058,-0.36,0
Key West,East,10/1/1926,0:00,2.54,1.681,1.451,0.821,0.811,0.172,-0.058,-0.56,0
Key West,East,11/1/1926,0:00,2.042,1.382,1.13,0.51,0.51,-0.111,-0.36,-1.259,0
Key West,East,12/1/1926,0:00,1.641,1.172,0.851,0.231,0.231,-0.389,-0.658,-1.259,0
Key West,East,1/1/1927,0:00,1.74,1.159,0.821,0.201,0.201,-0.419,-0.698,-1.059,0
Key West,East,2/1/1927,0:00,1.641,1.171,0.851,0.221,0.221,-0.399,-0.79,-1.059,0
Key West,East,3/1/1927,0:00,1.54,1.139,0.9,0.251,0.241,-0.409,-0.629,-1.059,0
Key West,East,4/1/1927,0:00,1.441,1.149,0.93,0.28,0.28,-0.38,-0.649,-1.16,0
Key West,East,5/1/1927,0:00,1.74,1.202,0.91,0.26,0.26,-0.389,-0.731,-1.259,0
Key West,East,6/1/1927,0:00,1.94,1.29,0.959,0.321,0.319,-0.32,-0.609,-1.059,0
Key West,East,7/1/1927,0:00,1.74,1.192,0.841,0.221,0.181,-0.468,-0.711,-1.059,0
Key West,East,8/1/1927,0:00,2.042,1.402,1.12,0.491,0.49,-0.15,-0.35,-0.658,0
Key West,East,9/1/1927,0:00,1.842,1.402,1.13,0.481,0.48,-0.16,-0.35,-0.76,0
Key West,East,10/1/1927,0:00,2.042,1.592,1.33,0.691,0.69,0.05,-0.189,-0.658,0
Key West,East,11/1/1927,0:00,2.14,1.579,1.3,0.681,0.68,0.06,-0.209,-0.76,0
Key West,East,12/1/1927,0:00,2.242,1.359,1.061,0.431,0.431,-0.199,-0.488,-1.259,0
Key West,East,1/1/1928,0:00,1.94,1.031,0.69,0.07,0.06,-0.57,-0.868,-1.459,0
Key West,East,2/1/1928,0:00,1.241,0.749,0.411,-0.219,-0.229,-0.868,-1.118,-1.659,0
Key West,East,3/1/1928,0:00,1.441,0.949,0.651,0.011,0.001,-0.639,-0.888,-1.259,0
Key West,East,4/1/1928,0:00,1.641,0.89,0.651,0.011,0.001,-0.649,-0.921,-1.361,0
Key West,East,5/1/1928,0:00,1.842,1.182,0.91,0.26,0.26,-0.389,-0.678,-1.259,0
Key West,East,6/1/1928,0:00,1.842,1.261,0.949,0.342,0.319,-0.301,-0.609,-1.16,0
Key West,East,7/1/1928,0:00,2.042,1.33,0.992,0.382,0.362,-0.278,-0.56,-1.059,0
Key West,East,8/1/1928,0:00,1.842,1.5,1.182,0.539,0.529,-0.12,-0.35,-0.96,0
Key West,East,9/1/1928,0:00,1.94,1.52,1.281,0.66,0.641,0.011,-0.199,-0.56,0
Key West,East,10/1/1928,0:00,2.242,1.612,1.33,0.72,0.7,0.06,-0.199,-0.56,0
Key West,East,11/1/1928,0:00,2.14,1.559,1.241,0.621,0.601,-0.028,-0.311,-0.96,0
Key West,East,12/1/1928,0:00,2.042,1.461,1.09,0.46,0.441,-0.209,-0.501,-1.16,0
Key West,East,1/1/1929,0:00,1.641,1.002,0.67,0.051,0.05,-0.57,-0.819,-1.459,0
Key West,East,2/1/1929,0:00,1.74,1.261,0.939,0.3,0.3,-0.35,-0.59,-1.16,0
Key West,East,3/1/1929,0:00,1.34,1.021,0.762,0.141,0.142,-0.488,-0.74,-1.059,0
Key West,East,4/1/1929,0:00,1.641,1.251,0.981,0.341,0.342,-0.291,-0.58,-1.059,0
Key West,East,5/1/1929,0:00,1.842,1.201,0.921,0.3,0.3,-0.32,-0.639,-1.16,0
Key West,East,6/1/1929,0:00,1.94,1.261,0.959,0.351,0.352,-0.258,-0.54,-1.16,0
Key West,East,7/1/1929,0:00,2.242,1.481,1.139,0.521,0.519,-0.101,-0.35,-0.96,0
Key West,East,8/1/1929,0:00,2.14,1.402,1.139,0.491,0.49,-0.16,-0.37,-0.859,0
Key West,East,9/1/1929,0:00,2.14,1.55,1.271,0.621,0.621,-0.019,-0.219,-0.56,0
Key West,East,10/1/1929,0:00,1.94,1.34,1.08,0.461,0.46,-0.17,-0.409,-0.859,0
Key West,East,11/1/1929,0:00,1.94,1.359,1.041,0.421,0.421,-0.209,-0.488,-1.059,0
Key West,East,12/1/1929,0:00,2.242,1.33,0.949,0.341,0.342,-0.258,-0.53,-0.96,0
Key West,East,1/1/1930,0:00,2.14,1.349,0.992,0.381,0.382,-0.229,-0.53,-0.96,0
Key West,East,2/1/1930,0:00,1.94,1.3,0.959,0.362,0.362,-0.238,-0.488,-1.059,0
Key West,East,3/1/1930,0:00,2.042,1.139,0.87,0.241,0.241,-0.38,-0.59,-0.96,0
Key West,East,4/1/1930,0:00,1.641,1.212,0.93,0.309,0.309,-0.311,-0.639,-0.96,0
Key West,East,5/1/1930,0:00,1.94,1.29,0.972,0.342,0.342,-0.301,-0.658,-1.16,0
Key West,East,6/1/1930,0:00,1.74,1.251,0.91,0.291,0.29,-0.33,-0.668,-1.259,0
Key West,East,7/1/1930,0:00,1.94,1.281,0.939,0.321,0.319,-0.301,-0.54,-1.16,0
Key West,East,8/1/1930,0:00,2.14,1.54,1.212,0.581,0.582,-0.048,-0.258,-0.658,0
Key West,East,9/1/1930,0:00,1.74,1.431,1.13,0.501,0.5,-0.12,-0.34,-0.76,0
Key West,East,10/1/1930,0:00,1.94,1.602,1.33,0.721,0.72,0.099,-0.15,-0.859,0
Key West,East,11/1/1930,0:00,1.74,1.369,1.061,0.441,0.441,-0.189,-0.458,-1.16,0
Key West,East,12/1/1930,0:00,1.94,1.182,0.831,0.221,0.221,-0.38,-0.619,-1.259,0
Key West,East,1/1/1931,0:00,1.641,0.949,0.572,-0.069,-0.068,-0.711,-1,-1.459,0
Key West,East,2/1/1931,0:00,1.641,1.031,0.7,0.051,0.05,-0.599,-0.839,-1.361,0
Key West,East,3/1/1931,0:00,2.042,1.202,0.9,0.251,0.25,-0.399,-0.649,-1.16,0
Key West,East,4/1/1931,0:00,1.842,1.159,0.87,0.241,0.241,-0.399,-0.688,-0.96,0
Key West,East,5/1/1931,0:00,1.74,0.972,0.621,-0.039,-0.038,-0.688,-1.019,-1.459,0
Key West,East,6/1/1931,0:00,1.54,1.139,0.782,0.141,0.142,-0.488,-0.799,-1.361,0
Key West,East,7/1/1931,0:00,1.74,1.212,0.861,0.221,0.221,-0.429,-0.711,-1.059,0
Key West,East,8/1/1931,0:00,1.74,1.202,0.88,0.241,0.241,-0.399,-0.599,-1.059,0
Key West,East,9/1/1931,0:00,1.74,1.471,1.159,0.541,0.539,-0.078,-0.301,-0.56,0
Key West,East,10/1/1931,0:00,1.94,1.471,1.159,0.531,0.529,-0.101,-0.34,-0.96,0
Key West,East,11/1/1931,0:00,1.94,1.491,1.13,0.511,0.51,-0.111,-0.389,-0.96,0
Key West,East,12/1/1931,0:00,1.74,1.32,0.959,0.331,0.329,-0.301,-0.609,-1.259,0
Key West,East,1/1/1932,0:00,1.842,1.271,0.9,0.261,0.26,-0.38,-0.658,-0.96,0
Key West,East,2/1/1932,0:00,1.641,1.139,0.772,0.121,0.119,-0.53,-0.78,-1.16,0
Key West,East,3/1/1932,0:00,2.042,1.061,0.739,0.101,0.099,-0.54,-0.809,-1.459,0
Key West,East,4/1/1932,0:00,1.74,1.13,0.841,0.201,0.201,-0.448,-0.731,-1.259,0
Key West,East,5/1/1932,0:00,2.042,1.241,0.93,0.3,0.3,-0.34,-0.639,-0.96,0
Key West,East,6/1/1932,0:00,1.842,1.29,0.92,0.301,0.3,-0.33,-0.619,-1.259,0
Key West,East,7/1/1932,0:00,1.842,1.369,0.982,0.351,0.352,-0.278,-0.55,-1.059,0
Key West,East,8/1/1932,0:00,2.14,1.5,1.159,0.521,0.519,-0.13,-0.34,-0.76,0
Key West,East,9/1/1932,0:00,2.14,1.641,1.34,0.7,0.7,0.06,-0.14,-0.56,0
Key West,East,10/1/1932,0:00,2.34,1.592,1.29,0.641,0.641,-0.019,-0.258,-1.259,0
Key West,East,11/1/1932,0:00,2.642,1.691,1.32,0.681,0.68,0.04,-0.258,-1.059,0
Key West,East,12/1/1932,0:00,2.242,1.632,1.261,0.641,0.641,0.011,-0.278,-1.059,0
Key West,East,1/1/1933,0:00,1.842,1.3,0.959,0.311,0.309,-0.34,-0.599,-1.059,0
Key West,East,2/1/1933,0:00,1.54,1.172,0.851,0.191,0.191,-0.468,-0.711,-1.059,0
