City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
San Francisco,West,1/1/1981,0:00,7.194,6.015,5.293,3.164,3.223,1.143,-0.077,-1.096,0
San Francisco,West,2/1/1981,0:00,6.154,5.644,5.044,2.934,2.954,0.874,-0.107,-1.266,0
San Francisco,West,3/1/1981,0:00,6.404,5.415,4.995,2.915,2.954,0.923,0.034,-0.876,0
San Francisco,West,4/1/1981,0:00,5.964,5.133,4.814,2.705,2.734,0.654,-0.327,-1.137,0
San Francisco,West,5/1/1981,0:00,6.684,5.513,4.942,2.774,2.813,0.684,-0.415,-1.956,0
San Francisco,West,6/1/1981,0:00,6.914,5.664,4.932,2.754,2.813,0.694,-0.625,-1.887,0
San Francisco,West,7/1/1981,0:00,6.894,5.943,5.195,3.003,3.052,0.913,-0.366,-1.726,0
San Francisco,West,8/1/1981,0:00,6.294,5.664,5.064,2.934,2.964,0.864,-0.156,-1.177,0
San Francisco,West,9/1/1981,0:00,5.904,5.484,5.064,2.954,2.984,0.904,0.123,-0.606,0
San Francisco,West,10/1/1981,0:00,6.244,5.484,5.133,3.013,3.062,1.005,0.064,-0.936,0
San Francisco,West,11/1/1981,0:00,7.414,5.815,5.283,3.144,3.213,1.143,-0.058,-1.116,0
San Francisco,West,12/1/1981,0:00,7.414,5.825,5.142,3.095,3.164,1.173,-0.156,-1.677,0
San Francisco,West,1/1/1982,0:00,7.194,5.864,5.142,3.134,3.203,1.274,0.103,-1.447,0
San Francisco,West,2/1/1982,0:00,6.734,5.743,5.113,3.072,3.125,1.133,0.113,-1.427,0
San Francisco,West,3/1/1982,0:00,6.655,5.805,5.323,3.302,3.361,1.399,0.539,-0.796,0
San Francisco,West,4/1/1982,0:00,6.514,5.484,5.113,3.134,3.213,1.314,0.303,-0.947,0
San Francisco,West,5/1/1982,0:00,7.084,5.654,5.142,3.082,3.154,1.163,0.034,-1.286,0
San Francisco,West,6/1/1982,0:00,7.214,5.854,5.185,3.095,3.164,1.143,-0.117,-1.596,0
San Francisco,West,7/1/1982,0:00,7.124,5.884,5.152,3.072,3.134,1.113,-0.166,-1.756,0
San Francisco,West,8/1/1982,0:00,6.884,5.884,5.264,3.174,3.223,1.182,0.034,-1.246,0
San Francisco,West,9/1/1982,0:00,6.823,5.963,5.533,3.453,3.505,1.474,0.543,-0.246,0
San Francisco,West,10/1/1982,0:00,6.394,5.762,5.454,3.354,3.394,1.323,0.425,-0.256,0
San Francisco,West,11/1/1982,0:00,7.974,6.353,5.854,3.725,3.794,1.734,0.533,-0.576,0
San Francisco,West,12/1/1982,0:00,7.664,6.402,5.674,3.525,3.623,1.563,0.113,-1.536,0
San Francisco,West,1/1/1983,0:00,8.663,6.714,5.963,3.814,3.902,1.845,0.523,-1.206,0
San Francisco,West,2/1/1983,0:00,7.862,6.573,5.904,3.984,4.073,2.232,1.245,-0.396,0
San Francisco,West,3/1/1983,0:00,7.724,6.235,5.772,3.902,3.994,2.213,1.383,-0.307,0
San Francisco,West,4/1/1983,0:00,6.832,5.772,5.352,3.413,3.492,1.635,0.625,-0.058,0
San Francisco,West,5/1/1983,0:00,6.612,5.805,5.254,3.292,3.394,1.533,0.293,-1.236,0
San Francisco,West,6/1/1983,0:00,7.055,6.084,5.415,3.384,3.492,1.573,0.195,-1.245,0
San Francisco,West,7/1/1983,0:00,7.344,6.255,5.523,3.492,3.574,1.622,0.362,-1.377,0
San Francisco,West,8/1/1983,0:00,7.514,6.294,5.595,3.554,3.604,1.612,0.533,-0.967,0
San Francisco,West,9/1/1983,0:00,7.475,6.383,5.874,3.814,3.863,1.855,0.815,-0.386,0
San Francisco,West,10/1/1983,0:00,6.963,6.005,5.625,3.545,3.584,1.553,0.493,-0.225,0
San Francisco,West,11/1/1983,0:00,7.012,6.202,5.625,3.492,3.574,1.514,0.362,-0.888,0
