City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
Honolulu,West,1/1/1923,0:00,1.89,1.552,1.06,0.482,0.45,-0.147,-0.348,-0.708,0
Honolulu,West,2/1/1923,0:00,1.89,1.391,1.011,0.371,0.371,-0.279,-0.449,-0.708,0
Honolulu,West,3/1/1923,0:00,1.992,1.46,1.171,0.512,0.512,-0.147,-0.239,-0.41,0
Honolulu,West,4/1/1923,0:00,1.69,1.332,1.021,0.4,0.391,-0.229,-0.328,-0.81,0
Honolulu,West,5/1/1923,0:00,1.992,1.391,0.971,0.381,0.371,-0.239,-0.39,-0.81,0
Honolulu,West,6/1/1923,0:00,1.992,1.47,0.981,0.381,0.371,-0.239,-0.439,-0.81,0
Honolulu,West,7/1/1923,0:00,1.992,1.523,1.06,0.492,0.473,-0.128,-0.328,-0.61,0
Honolulu,West,8/1/1923,0:00,2.09,1.65,1.24,0.65,0.63,0.03,-0.118,-0.308,0
Honolulu,West,9/1/1923,0:00,1.89,1.611,1.27,0.683,0.66,0.063,-0.069,-0.308,0
Honolulu,West,10/1/1923,0:00,1.992,1.591,1.27,0.683,0.66,0.053,-0.069,-0.308,0
Honolulu,West,11/1/1923,0:00,2.09,1.611,1.191,0.581,0.551,-0.079,-0.269,-0.708,0
Honolulu,West,12/1/1923,0:00,2.192,1.723,1.201,0.581,0.551,-0.098,-0.298,-0.708,0
Honolulu,West,1/1/1924,0:00,1.992,1.621,1.093,0.482,0.473,-0.157,-0.338,-0.61,0
Honolulu,West,2/1/1924,0:00,2.09,1.391,0.961,0.371,0.371,-0.259,-0.4,-0.61,0
Honolulu,West,3/1/1924,0:00,1.49,1.191,0.86,0.292,0.282,-0.298,-0.38,-0.61,0
Honolulu,West,4/1/1924,0:00,1.69,1.29,0.932,0.381,0.371,-0.19,-0.298,-0.61,0
Honolulu,West,5/1/1924,0:00,1.89,1.391,0.971,0.391,0.371,-0.22,-0.38,-0.708,0
Honolulu,West,6/1/1924,0:00,2.192,1.572,1.093,0.45,0.42,-0.249,-0.439,-0.61,0
Honolulu,West,7/1/1924,0:00,2.192,1.532,1.08,0.41,0.391,-0.289,-0.489,-0.61,0
Honolulu,West,8/1/1924,0:00,1.89,1.47,1.08,0.46,0.45,-0.19,-0.338,-0.61,0
Honolulu,West,9/1/1924,0:00,1.69,1.332,1.03,0.502,0.473,-0.088,-0.18,-0.308,0
Honolulu,West,10/1/1924,0:00,1.69,1.322,1.04,0.46,0.45,-0.138,-0.259,-0.708,0
Honolulu,West,11/1/1924,0:00,2.29,1.552,1.132,0.532,0.512,-0.098,-0.269,-0.508,0
Honolulu,West,12/1/1924,0:00,2.192,1.582,1.112,0.551,0.522,-0.069,-0.279,-0.81,0
Honolulu,West,1/1/1925,0:00,2.09,1.562,1.07,0.492,0.473,-0.128,-0.328,-0.708,0
Honolulu,West,2/1/1925,0:00,1.89,1.523,1.08,0.492,0.473,-0.138,-0.259,-0.508,0
Honolulu,West,3/1/1925,0:00,1.792,1.352,0.981,0.45,0.43,-0.128,-0.22,-0.41,0
Honolulu,West,4/1/1925,0:00,1.69,1.411,1.03,0.45,0.43,-0.18,-0.279,-0.508,0
Honolulu,West,5/1/1925,0:00,1.992,1.572,1.122,0.542,0.522,-0.088,-0.259,-0.508,0
Honolulu,West,6/1/1925,0:00,2.192,1.65,1.162,0.561,0.532,-0.108,-0.308,-0.61,0
Honolulu,West,7/1/1925,0:00,2.392,1.762,1.26,0.683,0.64,0.053,-0.147,-0.41,0
Honolulu,West,8/1/1925,0:00,2.592,1.841,1.401,0.771,0.752,0.092,-0.049,-0.21,0
Honolulu,West,9/1/1925,0:00,2.29,1.67,1.313,0.66,0.66,0.01,-0.088,-0.308,0
Honolulu,West,10/1/1925,0:00,2.09,1.742,1.411,0.801,0.781,0.151,-0.01,-0.308,0
Honolulu,West,11/1/1925,0:00,2.09,1.65,1.211,0.64,0.63,0.04,-0.147,-0.508,0
Honolulu,West,12/1/1925,0:00,2.29,1.752,1.221,0.63,0.591,-0.039,-0.229,-0.61,0
