City,Region,Date,MHW (ft),MSL (ft),MLW (ft)
San Francisco,West,1/1/1923,4.532,2.514,0.562
San Francisco,West,2/1/1923,4.493,2.514,0.572
San Francisco,West,3/1/1923,4.204,2.203,0.224
San Francisco,West,4/1/1923,4.555,2.544,0.572
San Francisco,West,5/1/1923,4.384,2.354,0.395
San Francisco,West,6/1/1923,4.522,2.465,0.503
San Francisco,West,7/1/1923,4.614,2.564,0.582
San Francisco,West,8/1/1923,4.614,2.583,0.582
San Francisco,West,9/1/1923,4.804,2.764,0.782
San Francisco,West,10/1/1923,4.795,2.734,0.733
San Francisco,West,11/1/1923,4.893,2.803,0.792
San Francisco,West,12/1/1923,4.624,2.495,0.464
San Francisco,West,1/1/1924,4.634,2.524,0.484
San Francisco,West,2/1/1924,4.532,2.442,0.405
San Francisco,West,3/1/1924,4.444,2.363,0.372
San Francisco,West,4/1/1924,4.394,2.334,0.352
San Francisco,West,5/1/1924,4.355,2.295,0.293
San Francisco,West,6/1/1924,4.473,2.485,0.523
San Francisco,West,7/1/1924,4.614,2.573,0.625
San Francisco,West,8/1/1924,4.532,2.495,0.513
San Francisco,West,9/1/1924,4.654,2.623,0.634
San Francisco,West,10/1/1924,4.555,2.505,0.503
San Francisco,West,11/1/1924,4.404,2.324,0.333
San Francisco,West,12/1/1924,4.512,2.403,0.385
San Francisco,West,1/1/1925,4.375,2.295,0.274
San Francisco,West,2/1/1925,4.624,2.662,0.753
San Francisco,West,3/1/1925,4.585,2.642,0.762
San Francisco,West,4/1/1925,4.444,2.475,0.595
San Francisco,West,5/1/1925,4.663,2.675,0.782
San Francisco,West,6/1/1925,4.683,2.642,0.723
San Francisco,West,7/1/1925,4.742,2.695,0.703
San Francisco,West,8/1/1925,4.814,2.695,0.664
San Francisco,West,9/1/1925,4.824,2.724,0.694
San Francisco,West,10/1/1925,4.923,2.793,0.753
San Francisco,West,11/1/1925,4.775,2.652,0.654
San Francisco,West,12/1/1925,4.932,2.813,0.835
San Francisco,West,1/1/1926,4.923,2.842,0.864
San Francisco,West,2/1/1926,4.873,2.872,0.913
San Francisco,West,3/1/1926,4.755,2.774,0.844
San Francisco,West,4/1/1926,4.673,2.685,0.782
San Francisco,West,5/1/1926,4.453,2.383,0.474
San Francisco,West,6/1/1926,4.673,2.564,0.582
San Francisco,West,7/1/1926,4.683,2.573,0.552
San Francisco,West,8/1/1926,4.693,2.642,0.664
San Francisco,West,9/1/1926,4.614,2.564,0.605
San Francisco,West,10/1/1926,4.683,2.623,0.674
San Francisco,West,11/1/1926,4.903,2.813,0.835
San Francisco,West,12/1/1926,4.604,2.554,0.654
San Francisco,West,1/1/1927,4.693,2.623,0.684
San Francisco,West,2/1/1927,4.814,2.885,1.064
San Francisco,West,3/1/1927,4.365,2.344,0.444
San Francisco,West,4/1/1927,4.483,2.442,0.513
San Francisco,West,5/1/1927,4.404,2.295,0.352
San Francisco,West,6/1/1927,4.663,2.603,0.684
San Francisco,West,7/1/1927,4.683,2.554,0.605
San Francisco,West,8/1/1927,4.742,2.685,0.713
San Francisco,West,9/1/1927,4.742,2.695,0.733
San Francisco,West,10/1/1927,4.795,2.754,0.844
San Francisco,West,11/1/1927,4.903,2.803,0.864
San Francisco,West,12/1/1927,4.923,2.823,0.874
San Francisco,West,1/1/1928,4.654,2.593,0.615
San Francisco,West,2/1/1928,4.722,2.705,0.782
San Francisco,West,3/1/1928,4.575,2.573,0.684
San Francisco,West,4/1/1928,4.512,2.495,0.634
San Francisco,West,5/1/1928,4.453,2.442,0.562
San Francisco,West,6/1/1928,4.594,2.554,0.684
San Francisco,West,7/1/1928,4.722,2.652,0.753
San Francisco,West,8/1/1928,4.814,2.764,0.825
San Francisco,West,9/1/1928,4.703,2.652,0.694
San Francisco,West,10/1/1928,4.722,2.613,0.634
San Francisco,West,11/1/1928,4.644,2.534,0.572
San Francisco,West,12/1/1928,4.785,2.652,0.694
San Francisco,West,1/1/1929,4.765,2.715,0.782
San Francisco,West,2/1/1929,4.512,2.475,0.503
San Francisco,West,3/1/1929,4.263,2.295,0.415
San Francisco,West,4/1/1929,4.375,2.363,0.513
San Francisco,West,5/1/1929,4.375,2.383,0.523
San Francisco,West,6/1/1929,4.634,2.573,0.694
San Francisco,West,7/1/1929,4.785,2.754,0.835
San Francisco,West,8/1/1929,4.732,2.662,0.723
San Francisco,West,9/1/1929,4.923,2.842,0.864
San Francisco,West,10/1/1929,4.742,2.652,0.674
San Francisco,West,11/1/1929,4.683,2.593,0.654
San Francisco,West,12/1/1929,4.614,2.534,0.654
San Francisco,West,1/1/1930,4.844,2.823,0.943
San Francisco,West,2/1/1930,4.732,2.734,0.825
San Francisco,West,3/1/1930,4.722,2.793,0.933
San Francisco,West,4/1/1930,4.532,2.554,0.703
San Francisco,West,5/1/1930,4.532,2.495,0.634
San Francisco,West,6/1/1930,4.673,2.613,0.703
San Francisco,West,7/1/1930,4.804,2.724,0.753
San Francisco,West,8/1/1930,4.834,2.803,0.884
San Francisco,West,9/1/1930,4.975,2.934,1.025
San Francisco,West,10/1/1930,4.873,2.872,0.982
San Francisco,West,11/1/1930,4.863,2.842,0.953
San Francisco,West,12/1/1930,4.834,2.774,0.884
San Francisco,West,1/1/1931,4.814,2.764,0.874
San Francisco,West,2/1/1931,4.883,2.852,0.923
San Francisco,West,3/1/1931,4.483,2.413,0.493
San Francisco,West,4/1/1931,4.555,2.495,0.533
San Francisco,West,5/1/1931,4.703,2.613,0.684
San Francisco,West,6/1/1931,4.683,2.613,0.743
San Francisco,West,7/1/1931,4.804,2.744,0.864
San Francisco,West,8/1/1931,4.732,2.724,0.815
San Francisco,West,9/1/1931,4.693,2.724,0.815
San Francisco,West,10/1/1931,4.624,2.623,0.723
San Francisco,West,11/1/1931,4.614,2.544,0.644
San Francisco,West,12/1/1931,4.742,2.675,0.762
San Francisco,West,1/1/1932,4.624,2.593,0.654
San Francisco,West,2/1/1932,4.765,2.764,0.884
San Francisco,West,3/1/1932,4.434,2.442,0.562
San Francisco,West,4/1/1932,4.575,2.564,0.664
San Francisco,West,5/1/1932,4.663,2.695,0.874
San Francisco,West,6/1/1932,4.654,2.662,0.864
San Francisco,West,7/1/1932,4.795,2.783,0.943
San Francisco,West,8/1/1932,4.952,2.905,0.982
San Francisco,West,9/1/1932,5.073,3.052,1.113
San Francisco,West,10/1/1932,4.834,2.754,0.805
San Francisco,West,11/1/1932,4.683,2.583,0.664
San Francisco,West,12/1/1932,4.693,2.583,0.654
San Francisco,West,1/1/1933,4.634,2.593,0.664
San Francisco,West,2/1/1933,4.332,2.304,0.362
San Francisco,West,3/1/1933,4.453,2.465,0.615
