City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
San Diego,West,1/1/1923,0:00,NaN,NaN,NaN,2.401,NaN,NaN,NaN,NaN,0
San Diego,West,2/1/1923,0:00,NaN,NaN,NaN,2.309,NaN,NaN,NaN,NaN,0
San Diego,West,3/1/1923,0:00,NaN,NaN,NaN,2.24,NaN,NaN,NaN,NaN,0
San Diego,West,4/1/1923,0:00,NaN,NaN,NaN,2.26,NaN,NaN,NaN,NaN,0
San Diego,West,5/1/1923,0:00,NaN,NaN,NaN,2.348,NaN,NaN,NaN,NaN,0
San Diego,West,6/1/1923,0:00,NaN,NaN,NaN,2.391,NaN,NaN,NaN,NaN,0
San Diego,West,7/1/1923,0:00,NaN,NaN,NaN,2.538,NaN,NaN,NaN,NaN,0
San Diego,West,8/1/1923,0:00,NaN,NaN,NaN,2.611,NaN,NaN,NaN,NaN,0
San Diego,West,9/1/1923,0:00,NaN,NaN,NaN,2.66,NaN,NaN,NaN,NaN,0
San Diego,West,10/1/1923,0:00,NaN,NaN,NaN,2.811,NaN,NaN,NaN,NaN,0
San Diego,West,11/1/1923,0:00,NaN,NaN,NaN,2.758,NaN,NaN,NaN,NaN,0
San Diego,West,12/1/1923,0:00,NaN,NaN,NaN,2.66,NaN,NaN,NaN,NaN,0
San Diego,West,1/1/1924,0:00,NaN,NaN,NaN,2.47,NaN,NaN,NaN,NaN,0
San Diego,West,2/1/1924,0:00,NaN,NaN,NaN,2.338,NaN,NaN,NaN,NaN,0
San Diego,West,3/1/1924,0:00,NaN,NaN,NaN,2.25,NaN,NaN,NaN,NaN,0
San Diego,West,4/1/1924,0:00,NaN,NaN,NaN,2.22,NaN,NaN,NaN,NaN,0
San Diego,West,5/1/1924,0:00,NaN,NaN,NaN,2.23,NaN,NaN,NaN,NaN,0
San Diego,West,6/1/1924,0:00,NaN,NaN,NaN,2.371,NaN,NaN,NaN,NaN,0
San Diego,West,7/1/1924,0:00,NaN,NaN,NaN,2.47,NaN,NaN,NaN,NaN,0
San Diego,West,8/1/1924,0:00,NaN,NaN,NaN,2.45,NaN,NaN,NaN,NaN,0
San Diego,West,9/1/1924,0:00,NaN,NaN,NaN,2.548,NaN,NaN,NaN,NaN,0
San Diego,West,10/1/1924,0:00,NaN,NaN,NaN,2.401,NaN,NaN,NaN,NaN,0
San Diego,West,11/1/1924,0:00,NaN,NaN,NaN,2.299,NaN,NaN,NaN,NaN,0
San Diego,West,12/1/1924,0:00,NaN,NaN,NaN,2.319,NaN,NaN,NaN,NaN,0
San Diego,West,1/1/1925,0:00,NaN,NaN,NaN,2.25,NaN,NaN,NaN,NaN,0
San Diego,West,2/1/1925,0:00,NaN,NaN,NaN,2.151,NaN,NaN,NaN,NaN,0
San Diego,West,3/1/1925,0:00,NaN,NaN,NaN,2.279,NaN,NaN,NaN,NaN,0
San Diego,West,4/1/1925,0:00,NaN,NaN,NaN,2.069,NaN,NaN,NaN,NaN,0
San Diego,West,5/1/1925,0:00,NaN,NaN,NaN,2.338,NaN,NaN,NaN,NaN,0
San Diego,West,6/1/1925,0:00,NaN,NaN,NaN,2.489,NaN,NaN,NaN,NaN,0
San Diego,West,7/1/1925,0:00,NaN,NaN,NaN,2.64,NaN,NaN,NaN,NaN,0
