City,Region,Date,Mean Highest,Mean Lowest
San Francisco,West,1/1/1923,5.142,-0.488
San Francisco,West,2/1/1923,4.975,-0.235
San Francisco,West,3/1/1923,4.512,-0.507
San Francisco,West,4/1/1923,4.834,-0.215
San Francisco,West,5/1/1923,4.844,-0.576
San Francisco,West,6/1/1923,5.162,-0.576
San Francisco,West,7/1/1923,5.303,-0.547
San Francisco,West,8/1/1923,5.244,-0.386
San Francisco,West,9/1/1923,5.234,0.014
San Francisco,West,10/1/1923,5.113,-0.146
San Francisco,West,11/1/1923,5.352,-0.317
San Francisco,West,12/1/1923,5.283,-0.855
San Francisco,West,1/1/1924,5.323,-0.678
San Francisco,West,2/1/1924,5.083,-0.468
San Francisco,West,3/1/1924,4.893,-0.376
San Francisco,West,4/1/1924,4.722,-0.517
San Francisco,West,5/1/1924,4.883,-0.806
San Francisco,West,6/1/1924,5.152,-0.707
San Francisco,West,7/1/1924,5.323,-0.645
San Francisco,West,8/1/1924,5.133,-0.507
San Francisco,West,9/1/1924,5.014,-0.137
San Francisco,West,10/1/1924,4.814,-0.346
San Francisco,West,11/1/1924,4.854,-0.816
San Francisco,West,12/1/1924,5.175,-0.668
San Francisco,West,1/1/1925,5.103,-0.757
San Francisco,West,2/1/1925,5.195,-0.176
San Francisco,West,3/1/1925,4.975,-0.068
San Francisco,West,4/1/1925,4.765,-0.346
San Francisco,West,5/1/1925,5.152,-0.297
San Francisco,West,6/1/1925,5.372,-0.445
San Francisco,West,7/1/1925,5.513,-0.458
San Francisco,West,8/1/1925,5.415,-0.458
San Francisco,West,9/1/1925,5.224,-0.166
San Francisco,West,10/1/1925,5.195,-0.077
San Francisco,West,11/1/1925,5.224,-0.537
San Francisco,West,12/1/1925,5.572,-0.527
San Francisco,West,1/1/1926,5.572,-0.337
San Francisco,West,2/1/1926,5.464,-0.015
San Francisco,West,3/1/1926,5.103,0.054
San Francisco,West,4/1/1926,5.093,-0.146
San Francisco,West,5/1/1926,4.975,-0.776
San Francisco,West,6/1/1926,5.333,-0.816
San Francisco,West,7/1/1926,5.415,-0.655
San Francisco,West,8/1/1926,5.372,-0.458
San Francisco,West,9/1/1926,5.034,-0.396
San Francisco,West,10/1/1926,5.005,-0.327
San Francisco,West,11/1/1926,5.333,-0.366
San Francisco,West,12/1/1926,5.234,-0.727
San Francisco,West,1/1/1927,5.415,-0.668
San Francisco,West,2/1/1927,5.415,0.034
San Francisco,West,3/1/1927,4.785,-0.517
San Francisco,West,4/1/1927,4.844,-0.415
San Francisco,West,5/1/1927,5.005,-0.878
San Francisco,West,6/1/1927,5.395,-0.707
San Francisco,West,7/1/1927,5.434,-0.727
San Francisco,West,8/1/1927,5.352,-0.396
San Francisco,West,9/1/1927,5.215,-0.186
San Francisco,West,10/1/1927,5.175,-0.268
San Francisco,West,11/1/1927,5.372,-0.488
San Francisco,West,12/1/1927,5.562,-0.527
San Francisco,West,1/1/1928,5.362,-0.606
San Francisco,West,2/1/1928,5.385,-0.346
San Francisco,West,3/1/1928,5.034,-0.386
San Francisco,West,4/1/1928,4.903,-0.406
San Francisco,West,5/1/1928,5.054,-0.625
San Francisco,West,6/1/1928,5.362,-0.727
San Francisco,West,7/1/1928,5.533,-0.688
San Francisco,West,8/1/1928,5.493,-0.415
San Francisco,West,9/1/1928,5.152,-0.268
San Francisco,West,10/1/1928,5.123,-0.497
San Francisco,West,11/1/1928,5.175,-0.845
San Francisco,West,12/1/1928,5.464,-0.806
San Francisco,West,1/1/1929,5.493,-0.445
San Francisco,West,2/1/1929,5.162,-0.625
San Francisco,West,3/1/1929,4.775,-0.655
San Francisco,West,4/1/1929,4.785,-0.668
San Francisco,West,5/1/1929,4.932,-0.806
San Francisco,West,6/1/1929,5.395,-0.707
San Francisco,West,7/1/1929,5.644,-0.527
San Francisco,West,8/1/1929,5.464,-0.616
San Francisco,West,9/1/1929,5.415,-0.235
San Francisco,West,10/1/1929,5.103,-0.386
San Francisco,West,11/1/1929,5.244,-0.727
San Francisco,West,12/1/1929,5.342,-0.937
San Francisco,West,1/1/1930,5.595,-0.497
San Francisco,West,2/1/1930,5.385,-0.376
San Francisco,West,3/1/1930,5.162,0.005
San Francisco,West,4/1/1930,5.024,-0.445
San Francisco,West,5/1/1930,5.205,-0.806
San Francisco,West,6/1/1930,5.454,-0.796
San Francisco,West,7/1/1930,5.582,-0.616
San Francisco,West,8/1/1930,5.562,-0.386
San Francisco,West,9/1/1930,5.444,-0.127
San Francisco,West,10/1/1930,5.264,-0.235
San Francisco,West,11/1/1930,5.454,-0.396
San Francisco,West,12/1/1930,5.582,-0.497
San Francisco,West,1/1/1931,5.582,-0.576
San Francisco,West,2/1/1931,5.552,-0.235
San Francisco,West,3/1/1931,4.995,-0.668
San Francisco,West,4/1/1931,5.014,-0.566
San Francisco,West,5/1/1931,5.405,-0.698
San Francisco,West,6/1/1931,5.474,-0.825
San Francisco,West,7/1/1931,5.625,-0.635
San Francisco,West,8/1/1931,5.395,-0.406
San Francisco,West,9/1/1931,5.224,-0.245
San Francisco,West,10/1/1931,5.103,-0.547
San Francisco,West,11/1/1931,5.195,-0.865
San Francisco,West,12/1/1931,5.454,-0.688
San Francisco,West,1/1/1932,5.464,-0.625
San Francisco,West,2/1/1932,5.444,-0.317
San Francisco,West,3/1/1932,4.952,-0.596
San Francisco,West,4/1/1932,5.034,-0.517
San Francisco,West,5/1/1932,5.323,-0.406
San Francisco,West,6/1/1932,5.444,-0.645
San Francisco,West,7/1/1932,5.582,-0.556
San Francisco,West,8/1/1932,5.654,-0.258
San Francisco,West,9/1/1932,5.543,0.103
San Francisco,West,10/1/1932,5.313,-0.406
San Francisco,West,11/1/1932,5.293,-0.845
San Francisco,West,12/1/1932,5.444,-0.845
San Francisco,West,1/1/1933,5.405,-0.616
San Francisco,West,2/1/1933,5.014,-0.766
San Francisco,West,3/1/1933,5.005,-0.468
San Francisco,West,4/1/1933,4.932,-0.616
San Francisco,West,5/1/1933,4.913,-0.967
San Francisco,West,6/1/1933,5.342,-0.737
San Francisco,West,7/1/1933,5.664,-0.478
San Francisco,West,8/1/1933,5.533,-0.507
San Francisco,West,9/1/1933,5.274,-0.346
San Francisco,West,10/1/1933,5.054,-0.517
San Francisco,West,11/1/1933,5.185,-0.898
San Francisco,West,12/1/1933,5.493,-0.845
San Francisco,West,1/1/1934,5.362,-0.707
San Francisco,West,2/1/1934,5.362,-0.278
San Francisco,West,3/1/1934,5.054,-0.245
San Francisco,West,4/1/1934,5.044,-0.566
San Francisco,West,5/1/1934,5.372,-0.747
San Francisco,West,6/1/1934,5.513,-0.757
San Francisco,West,7/1/1934,5.543,-0.527
San Francisco,West,8/1/1934,5.444,-0.376
San Francisco,West,9/1/1934,5.372,-0.127
San Francisco,West,10/1/1934,5.054,-0.415
San Francisco,West,11/1/1934,5.342,-0.547
San Francisco,West,12/1/1934,5.464,-0.625
San Francisco,West,1/1/1935,5.654,-0.356
San Francisco,West,2/1/1935,5.313,-0.307
San Francisco,West,3/1/1935,5.175,-0.297
San Francisco,West,4/1/1935,5.185,-0.146
San Francisco,West,5/1/1935,5.395,-0.527
San Francisco,West,6/1/1935,5.523,-0.547
San Francisco,West,7/1/1935,5.625,-0.478
San Francisco,West,8/1/1935,5.605,-0.058
San Francisco,West,9/1/1935,5.333,-0.025
San Francisco,West,10/1/1935,5.313,-0.307
San Francisco,West,11/1/1935,5.274,-0.766
San Francisco,West,12/1/1935,5.605,-0.556
